ENTREZ.ID	GENE.NAME	DEGREE	Closeness	Bet	CC	Cl	Clnorm	SP	PR	Spectral	BRIDGE_Spectral	PROB_Spectral	MIX_Spectral	BR_CONSENSUS	BR_CONSENSUS_MAD	BR_CONSENSUS_ADJ	CorePSD95
273	AMPH	16	0.304	1331.936	0.075	300316	0.0400254476948794	3.289	0.00026	59	0.409529861628525	0.999999999982094	0.5625	0.350954751242384	0.154433085425393	-0.37929120061801	0
6455	SH3GL1	32	0.343	12798.976	0.077	1123686	0.149818303138531	2.912	0.000484	59	0.613084297335429	0.999999999916225	0.75	0.350954751242384	0.154433085425393	-1.69736650259235	0
1759	DNM1	24	0.333	9413.54	0.101	908024	0.121060701099729	3.007	0.000385	59	0.568789476192877	0.99999999955582	0.708333333333333	0.350954751242384	0.154433085425393	-1.4105444073105	0
1785	DNM2	42	0.354	27260.255	0.038	1603291	0.213771571335153	2.828	0.000645	24	0.665306419353742	0.999937136406828	0.880952380952381	0.350954751242384	0.154433085425393	-2.03552022058914	0
26052	DNM3	9	0.298	643.276	0.167	333693	0.0444761273846213	3.356	0.00015	16	0.35275935318531	0.999999985550641	0.333333333333333	0.350954751242384	0.154433085425393	-0.0116853324399698	0
2060	EPS15	29	0.344	10929.631	0.091	1224141	0.163213546217089	2.908	0.000443	59	0.625812607976399	0.999999999962823	0.724137931034483	0.350954751242384	0.154433085425393	-1.77978608649116	0
673	BRAF	31	0.351	7256.604	0.176	2098347	0.279785164063225	2.852	0.000442	67	0.335580851642296	1	0.354838709677419	0.350954751242384	0.154433085425393	0.0995505565257593	0
1837	DTNA	9	0.319	2157.365	0.056	587619	0.0783360695872577	3.135	0.000172	55	0.307846492057011	0.999996224491472	0.444444444444444	0.350954751242384	0.154433085425393	0.279138754928255	0
1821	DRP2	3	0.278	37.231	0	84234	0.0112118404587946	3.6	7.4e-05	55	0.206913300120868	0.996990588638453	0.333333333333333	0.350954751242384	0.154433085425393	0.932711087943022	0
1756	DMD	9	0.304	2634.318	0.056	266872	0.0355658338427139	3.288	0.000169	55	0.425080029592352	0.997719375065826	0.666666666666667	0.350954751242384	0.154433085425393	-0.47998314704253	0
1605	DAG1	19	0.344	9747.882	0.14	1813980	0.241866045168992	2.911	0.000313	55	0.435272499587346	0.999999997678398	0.526315789473684	0.350954751242384	0.154433085425393	-0.545982411169892	0
369	ARAF	40	0.357	18828.657	0.112	2276977	0.303604707850222	2.799	0.000592	67	0.414201974990264	1	0.475	0.350954751242384	0.154433085425393	-0.409544519386261	0
2923	PDIA3	24	0.324	18059.089	0.036	604993	0.0806528179148358	3.086	0.00046	18	0.696541191399764	0.999999999998025	0.708333333333333	0.350954751242384	0.154433085425393	-2.23777462714966	0
